Cruise_Name,Station,TimePeriod,Latitude,Longitude,Ich_Haul_Fctr,Cruise_Name,Station,100000000,121050300,121050304,121060000,121060101,121060103,143130803,143150501,148010105,148010106,148010107,148010201,148010301,148010401,148010501,148010701,148041401,148041403,170024806,170025015,170070201,170070202,170080101,170200907,170201801,170201902,170203701,170280101,170282601,170340102,170400203,170440100,170440604,170460402,170511100,170570503,170570505,183010301,183010605,183012301,183012403,183020201,183020301,183021301,183030101,183050711,183050712
AL0405,84,may,41.845,-66.02,6.11,AL0405,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0405,93,may,42.645,-68.3133,4,AL0405,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0405,102,may,43.1017,-66.48,3.3,AL0405,102,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,
AL0405,111,may,43.7583,-67.7267,8.87,AL0405,111,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
AL0405,117,may,43.0667,-70.11,4.4,AL0405,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0408,4,aug,39.5983,-72.8433,4,AL0408,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
AL0408,9,aug,38.4017,-73.4483,6.5,AL0408,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
AL0408,11,aug,37.815,-74.705,2.1,AL0408,11,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
AL0408,13,aug,37.0633,-74.5833,4.8,AL0408,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0408,24,aug,37.3967,-75.4717,1.4,AL0408,24,2,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,11,,,5,,,,,,,,
AL0408,37,aug,39.9367,-72.78,2.9,AL0408,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
AL0408,41,aug,40.5617,-72.9783,1.6,AL0408,41,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,3,,1,,,,,,,,,
AL0408,45,aug,40.8933,-70.88,2.1,AL0408,45,2,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,
